release_date,region,issue,epiweek,lag,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b
2018-10-10,al,201839,201640,103,406,4,1,1.23,0.99,0.25
2018-10-10,ar,201839,201640,103,47,0,0,0.0,0.0,0.0
2018-10-10,az,201839,201640,103,133,0,0,0.0,0.0,0.0
2018-10-10,ca,201839,201640,103,668,2,0,0.3,0.3,0.0
2018-10-10,co,201839,201640,103,260,0,0,0.0,0.0,0.0
2018-10-10,ct,201839,201640,103,199,3,0,1.51,1.51,0.0
2018-10-10,de,201839,201640,103,40,0,0,0.0,0.0,0.0
2018-10-10,ga,201839,201640,103,552,6,3,1.63,1.09,0.54
2018-10-10,hhs1,201839,201640,103,654,5,1,0.917431,0.764526,0.152905
2018-10-10,hhs10,201839,201640,103,590,14,0,2.37288,2.37288,0.0
2018-10-10,hhs2,201839,201640,103,1307,10,3,0.994644,0.765111,0.229533
2018-10-10,hhs3,201839,201640,103,941,1,4,0.53135,0.10627,0.42508
2018-10-10,hhs4,201839,201640,103,2960,46,63,3.68243,1.55405,2.12838
2018-10-10,hhs5,201839,201640,103,2386,8,5,0.544845,0.335289,0.209556
2018-10-10,hhs6,201839,201640,103,1914,22,13,1.82863,1.14943,0.679206
2018-10-10,hhs7,201839,201640,103,723,0,0,0.0,0.0,0.0
2018-10-10,hhs8,201839,201640,103,913,8,0,0.876232,0.876232,0.0
2018-10-10,hhs9,201839,201640,103,992,6,1,0.705645,0.604839,0.100806
2018-10-10,hi,201839,201640,103,188,4,1,2.66,2.13,0.53
2018-10-10,ia,201839,201640,103,64,0,0,0.0,0.0,0.0
2018-10-10,id,201839,201640,103,13,0,0,0.0,0.0,0.0
2018-10-10,il,201839,201640,103,188,0,1,0.53,0.0,0.53
2018-10-10,in,201839,201640,103,131,1,0,0.76,0.76,0.0
2018-10-10,ks,201839,201640,103,69,0,0,0.0,0.0,0.0
2018-10-10,ky,201839,201640,103,240,0,0,0.0,0.0,0.0
2018-10-10,la,201839,201640,103,452,5,3,1.77,1.11,0.66
2018-10-10,ma,201839,201640,103,362,1,1,0.55,0.28,0.28
2018-10-10,md,201839,201640,103,82,1,0,1.22,1.22,0.0
2018-10-10,mi,201839,201640,103,606,2,1,0.5,0.33,0.17
2018-10-10,mn,201839,201640,103,210,2,0,0.95,0.95,0.0
2018-10-10,mo,201839,201640,103,536,0,0,0.0,0.0,0.0
2018-10-10,ms,201839,201640,103,75,0,1,1.33,0.0,1.33
2018-10-10,mt,201839,201640,103,86,1,0,1.16,1.16,0.0
2018-10-08,nat,201839,201640,103,13380,120,90,1.56951,0.896861,0.672646
2018-10-10,nc,201839,201640,103,155,3,1,2.58,1.94,0.65
2018-10-10,nd,201839,201640,103,42,0,0,0.0,0.0,0.0
2018-10-10,ne,201839,201640,103,54,0,0,0.0,0.0,0.0
2018-10-10,nh,201839,201640,103,21,1,0,4.76,4.76,0.0
2018-10-10,nm,201839,201640,103,176,1,0,0.57,0.57,0.0
2018-10-10,oh,201839,201640,103,807,2,3,0.62,0.25,0.37
2018-10-10,ok,201839,201640,103,117,1,0,0.85,0.85,0.0
2018-10-10,or,201839,201640,103,166,3,0,1.81,1.81,0.0
2018-10-10,pa,201839,201640,103,272,0,1,0.37,0.0,0.37
2018-10-10,sc,201839,201640,103,154,0,1,0.65,0.0,0.65
2018-10-10,sd,201839,201640,103,129,1,0,0.78,0.78,0.0
2018-10-10,tn,201839,201640,103,123,0,2,1.63,0.0,1.63
2018-10-10,tx,201839,201640,103,1122,15,10,2.23,1.34,0.89
2018-10-10,ut,201839,201640,103,395,6,0,1.52,1.52,0.0
2018-10-10,va,201839,201640,103,213,0,1,0.47,0.0,0.47
2018-10-10,vt,201839,201640,103,47,0,0,0.0,0.0,0.0
2018-10-10,wa,201839,201640,103,411,11,0,2.68,2.68,0.0
2018-10-10,wi,201839,201640,103,444,1,0,0.23,0.23,0.0
2018-10-10,wv,201839,201640,103,333,0,2,0.6,0.0,0.6
2018-10-10,al,201839,201641,102,530,6,7,2.45,1.13,1.32
2018-10-10,ar,201839,201641,102,60,1,0,1.67,1.67,0.0
2018-10-10,az,201839,201641,102,138,0,1,0.72,0.0,0.72
2018-10-10,ca,201839,201641,102,708,5,0,0.71,0.71,0.0
2018-10-10,co,201839,201641,102,301,2,1,1.0,0.66,0.33
2018-10-10,ct,201839,201641,102,275,1,0,0.36,0.36,0.0
2018-10-10,de,201839,201641,102,37,0,0,0.0,0.0,0.0
2018-10-10,ga,201839,201641,102,561,8,0,1.43,1.43,0.0
2018-10-10,hhs1,201839,201641,102,810,5,1,0.740741,0.617284,0.123457
2018-10-10,hhs10,201839,201641,102,616,4,2,0.974026,0.649351,0.324675
2018-10-10,hhs2,201839,201641,102,1310,2,3,0.381679,0.152672,0.229008
2018-10-10,hhs3,201839,201641,102,953,3,1,0.419727,0.314795,0.104932
2018-10-10,hhs4,201839,201641,102,2884,47,46,3.22469,1.62968,1.59501
2018-10-10,hhs5,201839,201641,102,2674,8,7,0.560957,0.299177,0.26178
2018-10-10,hhs6,201839,201641,102,2019,18,21,1.93165,0.89153,1.04012
2018-10-10,hhs7,201839,201641,102,785,1,0,0.127389,0.127389,0.0
2018-10-10,hhs8,201839,201641,102,966,10,1,1.13872,1.0352,0.10352
2018-10-10,hhs9,201839,201641,102,1036,10,1,1.06178,0.965251,0.0965251
2018-10-10,hi,201839,201641,102,190,5,0,2.63,2.63,0.0
2018-10-10,ia,201839,201641,102,91,0,0,0.0,0.0,0.0
2018-10-10,id,201839,201641,102,15,0,0,0.0,0.0,0.0
2018-10-10,il,201839,201641,102,234,0,0,0.0,0.0,0.0
2018-10-10,in,201839,201641,102,111,0,1,0.9,0.0,0.9
2018-10-10,ks,201839,201641,102,62,0,0,0.0,0.0,0.0
2018-10-10,ky,201839,201641,102,260,2,0,0.77,0.77,0.0
2018-10-10,la,201839,201641,102,496,5,1,1.21,1.01,0.2
2018-10-10,ma,201839,201641,102,417,2,1,0.72,0.48,0.24
2018-10-10,md,201839,201641,102,113,1,0,0.88,0.88,0.0
2018-10-10,mi,201839,201641,102,669,3,1,0.6,0.45,0.15
2018-10-10,mn,201839,201641,102,215,0,0,0.0,0.0,0.0
2018-10-10,mo,201839,201641,102,572,1,0,0.17,0.17,0.0
2018-10-10,ms,201839,201641,102,66,1,0,1.52,1.52,0.0
2018-10-10,mt,201839,201641,102,96,2,0,2.08,2.08,0.0
2018-10-08,nat,201839,201641,102,14053,108,83,1.35914,0.768519,0.590621
2018-10-10,nc,201839,201641,102,176,1,1,1.14,0.57,0.57
2018-10-10,nd,201839,201641,102,36,1,0,2.78,2.78,0.0
2018-10-10,ne,201839,201641,102,60,0,0,0.0,0.0,0.0
2018-10-10,nh,201839,201641,102,17,1,0,5.88,5.88,0.0
2018-10-10,nm,201839,201641,102,167,0,1,0.6,0.0,0.6
2018-10-10,oh,201839,201641,102,974,4,3,0.72,0.41,0.31
2018-10-10,ok,201839,201641,102,143,2,0,1.4,1.4,0.0
2018-10-10,or,201839,201641,102,188,2,0,1.06,1.06,0.0
2018-10-10,pa,201839,201641,102,270,0,0,0.0,0.0,0.0
2018-10-10,sc,201839,201641,102,179,0,1,0.56,0.0,0.56
2018-10-10,sd,201839,201641,102,108,0,0,0.0,0.0,0.0
2018-10-10,tn,201839,201641,102,112,3,0,2.68,2.68,0.0
2018-10-10,tx,201839,201641,102,1153,10,19,2.52,0.87,1.65
2018-10-10,ut,201839,201641,102,424,5,0,1.18,1.18,0.0
2018-10-10,va,201839,201641,102,201,2,1,1.49,1.0,0.5
2018-10-10,vt,201839,201641,102,68,1,0,1.47,1.47,0.0
2018-10-10,wa,201839,201641,102,413,2,2,0.97,0.48,0.48
2018-10-10,wi,201839,201641,102,471,1,2,0.64,0.21,0.42
2018-10-10,wv,201839,201641,102,332,0,0,0.0,0.0,0.0
2018-10-10,al,201839,201642,101,503,3,5,1.59,0.6,0.99
2018-10-10,ar,201839,201642,101,53,0,0,0.0,0.0,0.0
2018-10-10,az,201839,201642,101,135,0,1,0.74,0.0,0.74
2018-10-10,ca,201839,201642,101,719,3,2,0.7,0.42,0.28
