Estado,year_week,temperature_2m_mean,apparent_temperature_mean
Alabama,201000,26.102776,30.371778
Alabama,201001,26.309822,30.365425
Alabama,201002,26.76994,30.906471
Alabama,201003,27.129763,31.761911
Alabama,201004,27.206549,31.887081
Alabama,201005,27.830952,32.437126
Alabama,201006,27.183332,31.555017
Alabama,201007,27.71369,32.52087
Alabama,201008,27.867857,32.36075
Alabama,201009,27.469942,32.07885
Alabama,201010,27.621725,32.273705
Alabama,201011,27.634226,32.339256
Alabama,201012,28.177082,33.309982
Alabama,201013,27.863094,33.108826
Alabama,201014,27.822023,32.83946
Alabama,201015,27.782438,32.996193
Alabama,201016,27.84375,32.551132
Alabama,201017,27.251488,31.740097
Alabama,201018,27.456251,32.015255
Alabama,201019,27.233334,31.633486
Alabama,201020,27.912798,30.7924
Alabama,201021,27.456547,30.15417
Alabama,201022,27.3375,29.934542
Alabama,201023,26.627085,29.642445
Alabama,201024,26.509226,28.536499
Alabama,201025,25.900297,27.18659
Alabama,201026,25.813988,27.314589
Alabama,201027,25.261013,26.048744
Alabama,201028,24.697023,25.489119
Alabama,201029,24.693155,25.954718
Alabama,201030,24.760416,25.564728
Alabama,201031,24.88482,26.099815
Alabama,201032,25.068455,26.631073
Alabama,201033,25.233929,26.842846
Alabama,201034,25.205357,26.836714
Alabama,201035,24.963095,26.224598
Alabama,201036,25.36875,27.119112
Alabama,201037,25.49494,27.714771
Alabama,201038,25.453869,27.65894
Alabama,201039,25.886011,28.738213
Alabama,201040,26.110119,29.083555
Alabama,201041,25.875298,29.188385
Alabama,201042,25.700893,28.71305
Alabama,201043,26.111013,29.030321
Alabama,201044,25.891668,29.897348
Alabama,201045,26.109226,29.73047
Alabama,201046,26.133629,29.789526
Alabama,201047,26.087797,29.59761
Alabama,201048,26.460714,30.343513
Alabama,201049,26.011606,29.619722
Alabama,201050,26.636011,30.414053
Alabama,201051,26.46994,30.323727
Alabama,201052,25.910833,29.953531
Alabama,201100,26.491667,30.760227
Alabama,201101,26.597023,30.923615
Alabama,201102,27.136606,31.449184
Alabama,201103,26.751488,31.158531
Alabama,201104,26.140774,29.946857
Alabama,201105,26.491667,30.626438
Alabama,201106,27.520536,31.558624
Alabama,201107,27.360416,31.70909
Alabama,201108,26.836607,30.858353
Alabama,201109,27.145834,31.587208
Alabama,201110,27.136904,31.781418
Alabama,201111,27.229761,31.420015
Alabama,201112,27.319643,31.921625
Alabama,201113,27.696726,32.226143
Alabama,201114,27.497324,32.089935
Alabama,201115,27.38363,32.151985
Alabama,201116,26.958332,30.978012
Alabama,201117,27.138393,31.448648
Alabama,201118,27.281847,31.29913
